blend_name,company_name,description,flavors,vendor_location,notes,origin,price,review_date,roast,vendor_phone,vendor_website
Colombia Finca La Maria Geisha Natural,Klatch Coffee,"Intoxicatingly (though cleanly) fruit-toned. Raspberry coulis, halvah, plumeria, pink peppercorn, lemon verbena in aroma and cup. Richly sweet-tart structure with bright, high-toned acidity; delicate, silky smooth mouthfeel. The finish maintains the tart-sweetness of the cup, while intensifying its herby citrus.",['Fruity'],"Los Angeles, California","['Raspberry', 'Lemon']","La Mesa, Cundinamarca, Colombia",$54.95/6 ounces,September 2019,Medium-Light,877-455-2824,www.klatchroasting.com
Panama Finca Kalithea Natural Geisha,Kakalove Café,"Exceptionally high-toned, delicately fruit-centered, intricately balanced. Mulberry, coconut, sandalwood, dark chocolate, lilac in aroma and cup. Richly sweet in structure with balanced, juicy acidity; delicate but plush, mouth-filling texture. The finish is a gentle reminder of everything the cup offers, in particular mulberry, coconut, and lilac.","['Fruity', 'Chocolatey']","Chia-Yi, Taiwan","['Coconut', 'Chocolate']","Chiriqui growing region, Panama",NT $750/4 ounces,September 2019,Medium-Light,,www.kakalovecafe.com.tw
Panama Hacienda La Esmeralda Super Mario 6 Geisha,Dragonfly Coffee Roasters,"Impeccably floral and cocoa-toned with a savory throughline. Chocolate fudge, wisteria, Asian pear, hazelnut butter, white peppercorn in aroma and cup. Richly sweet-savory structure with floral acidity; velvety-smooth, viscous mouthfeel. The finish centers around spice-toned chocolate (think dark chocolate with peppercorns) and wisteria.","['Chocolatey', 'Fruity', 'Nutty', 'Sweet']","Boulder, Colorado","['Chocolate', 'Pear', 'Hazelnut', 'Butter']","Boquete growing region, western Panama",$60.00/8 ounces,September 2019,Medium-Light,303-579-2154,www.dragonflycoffeeroasters.com
Panama Geisha Alto Jaramillo,Caffe Luxxe,"Crisply and sweetly bright, exquisitely balanced. Tangerine zest, lavender, cocoa, cedar, fresh apricot in aroma and cup. Bright, delicate but juicy in structure; silky/satiny in mouthfeel. The quietly complex finish fades in the short but apricot and lavender revive in the long.","['Fruity', 'Floral', 'Chocolatey', 'Earthy/Herbal']","Santa Monica, California","['Tangerine', 'Lavender', 'Cocoa', 'Cedar', 'Apricot']","Alto Jaramillo, Boquete growing region, western Panama",$40.00/4 ounces,September 2019,Medium-Light,310-394-2222,www.caffeluxxe.com
Colombia Laderas del Tapias Estate Natural Geisha,Cafetaster,"Crisply sweet-tart, fruit-toned. Blackberry jam, cocoa powder, almond, narcissus, baking spices in aroma and cup. Sweetly tart structure with bright, fruit-forward acdity; lively, satiny mouthfeel. The finish consolidates to notes of blackberry and cocoa.","['Fruity', 'Chocolatey', 'Nutty']","I-Lan City, Taiwan","['Blackberry', 'Cocoa', 'Almond']","Neira, Caldas Department, Colombia",NT $1350/230 grams,September 2019,Medium-Light,,
Gesha Village Natural Lot #19,GK Coffee,"Rich, complex, very deeply sweet. Honey, lilac, guava, frankincense, cacao nib in aroma and cup. Richly sweet-tart structure with high-toned, juicy acidity; crisp, full, satiny mouthfeel. The rich-toned finish is both sweetly floral and invitingly tart.","['Sweet', 'Chocolatey']","Yilan, Taiwan","['Honey', 'Cacao']","Bench-Maji Zone, southern Ethiopia",NT $1200/100 grams,September 2019,Medium-Light,,www.gkcoffee.com.tw.
Gesha Village 1931 Lot 27,Mudhouse Coffee Roasters,"Richly sweet-savory, deeply floral-toned. Honeysuckle, bergamot, toffee, myrrh, a hint of fresh coriander in aroma and cup. Balanced, structure (sweet-savory) with citrusy acidity; plump, satiny mouthfeel. The finish consolidates around notes of honeysuckle and myrrh with a hint of toffee in the long.","['Floral', 'Earthy/Herbal', 'Spice']","Charlottesville, Virginia","['Honeysuckle', 'Bergamot', 'Coriander']","Bench-Maji Zone, southern Ethiopia",$50.00/8 ounces,September 2019,Medium-Light,,www.mudhouse.com
Ethiopia Sidamo Gora Kone,Temple Coffee Roasters,"Subtly and sweetly rich, deeply savory. Goji berry, cocoa nib, myrrh, fine musk, gardenia in aroma and cup. Sweet-savory structure with juicy acidity; crisp, lightly satiny mouthfeel. The finish resonates with perfume and cocoa notes, with deep richness into the long.",['Chocolatey'],"Sacramento, California",['Cocoa'],"Sidamo (also Sidama) growing region, south-central Ethiopia",$19.00/12 ounces,September 2019,Medium-Light,916-454-1282,www.templecoffee.com
Kebele Village Espresso,JBC Coffee Roasters,"Evaluated as espresso. Bright, sweetly tart, floral- and nut-toned. Nougat, cherry, wisteria, almond wood, sweet lime in aroma and small cup. Nicely syrupy, crisp mouthfeel. The finish simplifies around an attractively tart and nutty resonance. The florals, tart elegance and rich-toned nuttiness carry with grace and delicacy into three parts milk.","['Sweet', 'Fruity', 'Nutty']","Madison, Wisconsin","['Nougat', 'Cherry', 'Almond', 'Lime']","Yirgacheffe growing region, southern Ethiopia",$17.10/12 ounces,September 2019,Medium-Light,608-256-5282,www.jbccoffeeroasters.com
Panama Finca San Sebastian,Jackrabbit Java,"Rich-toned, chocolaty, exquisitely balanced. Chocolate fudge, pink grapefruit zest, cherry, sandalwood, narcissus in aroma and cup. Sweetly tart structure with bright, juicy acidity; plush, syrupy mouthfeel. The finish consolidates to notes of chocolate fudge and citrus-toned sandalwood.","['Chocolatey', 'Fruity']","Thermopolis, Wyoming","['Chocolate', 'Grapefruit', 'Cherry']","Boquete growing region, western Panama",$12.00/12 ounces,August 2019,Medium-Light,,www.jackrabbitjava.com
Yirgacheffe Gedeb G1 Natural,MJ Bear Coffee,"High-toned, sweetly tart, deeply savory. Jasmine, dark chocolate, lemon verbena, pink grapefruit zest, candycap mushroom in aroma and cup. Balanced sweet-tart-savory structure; lyrical, syrupy-smooth mouthfeel. The flavor-saturated finish leads with citrus notes (lemon verbena, grapefruit) in the short, rounding to deep chocolate and sweet mushroom in the long.","['Floral', 'Chocolatey', 'Fruity', 'Earthy/Herbal']","New Taipei City, Taiwan","['Jasmine', 'Chocolate', 'Lemon', 'Grapefruit', 'Mushroom']","Gedeb District, Gedeo Zone, southern Ethiopia",NT $350/8 ounces,August 2019,Light,,www.mjbearcoffee.store
Kenya Kiambu Uklili AA,Kakalove Cafe,"High-toned, richly savory-sweet. Red currant, hop flowers, dark chocolate, oak, maple syrup in aroma and cup. Rich, savory-sweet structure with vibrant, juicy acidity; plush, syrupy mouthfeel. Resoundingly long, flavor-saturated finish.",['Chocolatey'],"Chia-Yi, Taiwan",['Chocolate'],"Kiambu growing region, south-central Kenya",NT $350/8 ounces,August 2019,Medium,,www.kakalovecafe.com.tw
Ethiopia Guji Shakisso Natural Lot 24,Kakalove Cafe,"Cleanly fruit-toned, deeply rich. Dried raspberry, toffee, molasses, cedar, narcissus-like flowers in aroma and cup. Sweet-toned structure with brisk acidity; creamy-smooth mouthfeel. Impressively resonant, multi-layered finish.","['Fruity', 'Sweet', 'Earthy/Herbal']","Chia-Yi, Taiwan","['Raspberry', 'Molasses', 'Cedar']","Guji Zone, Oromia Region, southern Ethiopia",NT $260/8 ounces,August 2019,Medium-Light,,www.kakalovecafe.com.tw
Ethiopia Washed Yirgacheffe Nafasha Lot,Kakalove Cafe,"Crisp, citrusy, deeply sweet. Lemon verbena, cacao nib, agave syrup, cedar, freesia-like flowers in aroma and cup. Sweet-tart structure with high-toned, lively acidity; full, viscous mouthfeel. The finish consolidates to notes of citrus-toned cocoa and freesia.","['Fruity', 'Chocolatey', 'Earthy/Herbal']","Chia-Yi, Taiwan","['Lemon', 'Cacao', 'Cedar', 'Cocoa']","Yirgacheffe growing region, southern Ethiopia",NT $275/8 ounces,August 2019,Medium-Light,,www.kakalovecafe.com.tw
El Salvador,Plat Coffee Roastery,"Sweetly and crisply floral- and fruit-toned. Roasted pineapple, honey, cashew, lavender and magnolia, baker’s chocolate in aroma and cup. In structure round, balanced, sweet with a tart/savory edge. Lightly syrupy, satiny mouthfeel. Flavor consolidates around dry, spicy chocolate in a crisp finish.","['Fruity', 'Sweet', 'Nutty', 'Floral', 'Chocolatey']","Hong Kong, China","['Pineapple', 'Honey', 'Cashew', 'Lavender', 'Magnolia', 'Chocolate']","Tecapa Chinameca growing region, southeastern El Salvador",$19.65/8 ounces,August 2019,Medium,,www.platcoffee.com.
Ethiopia Kayon Mountain Natural,Lexington Coffee Roasters,"Complex, chocolaty, richly sweet. Dark chocolate, guava, butterscotch, honeysuckle, ginger blossom in aroma and cup. Sweetly tart structure with high-toned acidity; crisp, syrupy mouthfeel. Long, resounding finish that carries over all the notes from the cup, in particular foregrounding guava and dark chocolate.","['Chocolatey', 'Floral', 'Spice']","Lexington, Virginia","['Chocolate', 'Honeysuckle', 'Ginger']","Odo Shakiso District, Guji Zone, Oromia region, southern Ethiopia",$21.00/12 ounces,August 2019,Medium,800-322-6505,www.lexingtoncoffee.com
Ethiopia Natural Yirgacheffe Blue Donkey Lot,Kakalove Cafe,"Delicately fruit-toned. Persimmon, rose hips, cacao nib, lemon verbena, saltwater taffy in aroma and cup. Balanced, sweet-savory structure with fruit-driven acidity; vibrant, syrupy mouthfeel. The finish consolidates to persimmon and rose hips with cocoa undertones.","['Floral', 'Chocolatey', 'Fruity']","Chia-Yi, Taiwan","['Rose', 'Cacao', 'Lemon', 'Cocoa']","ochere, Yirgacheffe growing region, south-central Ethiopia",NT $300/8 ounces,August 2019,Medium-Light,,www.kakalovecafe.com.tw
Geisha Village Auction Lot #11,JBC Coffee Roasters,"Subtly and sweetly intense: flowers and cocoa. Lavender, cocoa, honey, candied nut, lemon zest, much more in aroma and cup. Richly and sweetly pungent in structure; light though plush and satiny in mouthfeel. A quiet, layered finish consolidates around lemon and lavender.","['Chocolatey', 'Floral', 'Sweet', 'Fruity']","Madison, Wisconsin","['Cocoa', 'Lavender', 'Honey', 'Lemon']","Bench-Maji Zone, southern Ethiopia",$25.75/4 ounces,August 2019,Medium-Light,608-256-5282,www.jbccoffeeroasters.com
Ethiopia Yirgacheffe Chelelektu Natural,Dragonfly Coffee Roasters,"Deeply sweet, elegantly rich. Mulberry, sandalwood, tangerine zest, jasmine, baking spices in aroma and cup. Sweetly tart in structure with high-toned, juicy acidity; plush, syrupy mouthfeel. The seemingly infinite finish fulfills the promise of the cup, leading with deep berry and citrus zest, rounding to floral-toned spice.","['Fruity', 'Floral']","Boulder, Colorado","['Tangerine', 'Jasmine']","Yirgacheffe growing region, southern Ethiopia",$18.00/12 ounces,August 2019,Medium-Light,303-579-2154,
Kenya Kimaruri,Caffe Luxxe,"Crisply sweet, richly savory, vibrant. Red currant, jasmine, maple syrup, sandalwood, cacao nib in aroma and cup. The structure is harmoniously sweet-tart-savory with juicy, lively acidity. Plush, syrupy mouthfeel. The richly drying finish centers around red currant and sandalwood with a hint of jasmine in the long.","['Floral', 'Chocolatey']","Santa Monica, California","['Jasmine', 'Cacao']","Nyeri growing region, south-central Kenya",$23.00/12 ounces,August 2019,Medium-Light,310-394-2222,www.caffeluxxe.com
Kenya Handege,Greater Goods Coffee Roasters,"Very sweet, tart, musky and rich. Sugarcane, orange zest, ripe peach, gardenia, myrhh in aroma, with elegant tobacco and cocoa also emerging in the cup. Structure is deeply sweet-savory, with juicy acidity; gently drying, syrupy mouthfeel. The resonant finish is crisp and rich: cocoa, tobacco, florals and citrus zest carry into the long.","['Fruity', 'Earthy/Herbal', 'Chocolatey']","Austin, Texas","['Orange', 'Peach', 'Tobacco', 'Cocoa']","Thika growing region, central Kenya",$19.00/12 ounces,August 2019,Medium,512-858-2680,
Colombia Valle del Cauca Cerro Azul Geisha,modcup coffee company,"Vibrant, high-toned, exhilarating. Floral medley (lavender, rose, wisteria), grapefruit zest, ripe passion fruit, cocoa, a hint of ginger in aroma and cup. Sweetly and brilliantly bright in structure; lightly syrupy in mouthfeel. Flavors consolidate but ring on in a long, resonantly layered finish.","['Floral', 'Fruity', 'Chocolatey', 'Spice']","Jersey City, New Jersey","['Lavender', 'Rose', 'Grapefruit', 'Cocoa', 'Ginger']","Valle del Cauca Department, western Colombia",$25.00/150 grams,August 2019,Medium,,
Green-Tip Geisha,Finca Las Nieves,"High-toned, delicate, complex. Apricot, narcissus, maple syrup, sandalwood, tangerine zest in aroma and cup. Sweetly tart structure with bright, juicy acidity; plush, syrupy mouthfeel. Rich, resonant finish that consolidates to notes of apricot and sandalwood.",['Fruity'],"San Juan Lachao, Oaxaca, Mexico","['Apricot', 'Tangerine']","Oaxaca State, Mexico",$35.00/8 ounces,July 2019,Medium-Light,52-954-582,www.fincalasnieves.com.mx
Barichu Double,Barrington Coffee Roasting,"Richly sweet, deeply savory, elegantly balanced. Dried apricot, maple syrup, narcissus, sandalwood, cacao nib in aroma and cup. Sweet-tart-savory in structure with vibrant, juicy acidity; plush, syrupy mouthfeel. The finish leads with notes of dried apricot and cacao nib in the short, rounding to narcissus and sandalwood in the long.","['Fruity', 'Chocolatey']","Lee, Massachusetts","['Apricot', 'Cacao']","Nyeri growing region, south-central Kenya",$13.34/4 ounces,July 2019,Medium-Light,800-528-0998,www.barringtoncoffee.com
Rukera Kenya,JBC Coffee Roasters,"Lavish, captivatingly complex, deeply savory-sweet. Candycap mushroom, lilac, dark chocolate, dried coconut, frankincense in aroma and cup. Structurally, the savory component, which is typically an undertone, occupies the top of the aromatic and flavor range, with deep sweetness (fruit, florals) underneath. The mouthfeel is lively and richly syrupy. The seemingly eternal finish is a quiet mirror of the cup.","['Earthy/Herbal', 'Chocolatey', 'Fruity']","Madison, Wisconsin","['Mushroom', 'Chocolate', 'Coconut']","Kiambu growing region, south-central Kenya",$21.20/12 ounces,July 2019,Medium-Light,608-256-5282,www.jbccoffeeroasters.com
Rukera Espresso,JBC Coffee Roasters,"Evaluated as espresso. Exquisitely aromatic: high-toned, savory and impossibly floral. Toffee, dried black currant, myrrh, lavender, fine musk in aroma and small cup. Plush, syrupy mouthfeel; big, complex finish that is equal parts sweet and savory. In cappuccino-scaled milk, a whole new mid-palate is created, something akin to a mushroom custard.","['Floral', 'Earthy/Herbal']","Madison, Wisconsin","['Lavender', 'Mushroom']","Kiambu growing region, south-central Kenya",$21.20/12 ounces,July 2019,Medium-Light,608-256-5282,www.jbccoffeeroasters.com
The Core Espresso,Highwire Coffee Roasters,"Evaluated as espresso. High-toned, sweetly tart; Bing cherry, dark chocolate, tangerine zest, honeysuckle, a hint of fine pipe tobacco in aroma and small cup. Full, syrupy mouthfeel; earthy-sweet finish. In cappuccino-scaled milk, dark chocolate is amplified, as are deep florals, while tart fruit notes round.","['Fruity', 'Chocolatey', 'Floral', 'Earthy/Herbal']","Emeryville, California","['Cherry', 'Chocolate', 'Tangerine', 'Honeysuckle', 'Tobacco']",Ethiopia; Guatemala; Papua New Guinea; Sumatra,$17.25/12 ounces,June 2019,Medium,510-420-0473,www.highwirecoffee.com
Espresso Mandarina,Amavida Coffee Roasters,"Evaluated as espresso. Spice-toned, fruit-forward. Dried raspberry, cinnamon, dark chocolate, almond butter, narcissus in aroma and small cup. Crisp, satiny texture; resonant, flavor-saturated finish. In three parts milk, balanced and chocolaty, with lingering spice notes.","['Fruity', 'Spice', 'Chocolatey', 'Nutty', 'Sweet']","Santa Rosa Beach, Florida","['Raspberry', 'Cinnamon', 'Chocolate', 'Almond', 'Butter']",Congo; Ethiopia,$16.95/12 ounces,June 2019,Medium,850-213-1965,www.amavida.com
SOB Espresso,Folly Coffee Roasters,"Evaluated as espresso. Deeply chocolaty, richly floral. Chocolate fudge, lilac, peach, fresh-cut cedar, hazelnut butter in aroma and small cup. Crisp, satiny-smooth mouthfeel; the deep, long, resonant finish maintains all of the aroma and flavor notes from the cup. Also profoundly satisfying in three parts milk, with chocolate and florals in a slow dance and fruit returning to the surface in the long finish.","['Chocolatey', 'Fruity', 'Earthy/Herbal', 'Nutty', 'Sweet']","Silver Lake, Minnesota","['Chocolate', 'Peach', 'Cedar', 'Hazelnut', 'Butter']",Colombia,$18.95/12 ounces,June 2019,Medium,,www.follycoffee.com
Ethiopia Gedeb Worka Sakaro,Direct Coffee,"Deeply sweet, intensely pungent. Dark chocolate, pink grapefruit zest, wisteria, maple syrup, myrrh in aroma and cup. Deeply sweet-toned in structure with lively, juicy acidity; syrupy mouthfeel. The finish is long and satisfying: flavor-saturated, floral-, chocolate- and fruit-toned, harmoniously balanced.","['Chocolatey', 'Fruity']","Hsinchu, Taiwan","['Chocolate', 'Grapefruit']","Gedeb District, Gedeo Zone, southern Ethiopia",NT $660/225 grams,June 2019,Medium-Light,,www.directcoffee.com.tw
La Belleza Colombia,JBC Coffee Roasters,"Balanced, high-toned, richly sweet. Molasses, crisp green tomato, wisteria, Nutella, fresh pipe tobacco in aroma and cup. Sweet-savory-tart structure; very syrupy mouthfeel. Rich-toned finish with notes of dark chocolate, hazelnut and wisteria.","['Sweet', 'Earthy/Herbal', 'Chocolatey', 'Nutty']","Madison, Wisconsin","['Molasses', 'Tobacco', 'Chocolate', 'Hazelnut']","San Augustin, Huila, Colombia",$19.50/12 ounces,June 2019,Medium-Light,608-256-5282,www.jbccoffeeroasters.com
Colombia Pink Bourbon,Paradise Roasters,"Elegant, tropical, rich-toned. Strawberry guava, honeysuckle, almond, sandalwood, cacao nib in aroma and cup. Richly sweet structure with bright, vibrant acidity; lush, syrupy mouthfeel. Lingering notes of strawberry and honeysuckle in the delicate finish.","['Fruity', 'Floral', 'Nutty', 'Chocolatey']","Minneapolis, MInnesota","['Strawberry', 'Honeysuckle', 'Almond', 'Cacao']","Huila, Colombia",$24.95/12 ounces,June 2019,Medium-Light,763-433-0626,www.paradiseroasters.com
Crystalina,Steady State Roasting Company,"Juicy, bright, deeply and richly sweet. Dried strawberry, toffee, lilac, myrrh, maple syrup in aroma and cup. Sweet-tart structure with vivacious acidity; full, syrupy mouthfeel. The resonant finish consolidates to notes of strawberry and toffee.",['Fruity'],"Carlsbad, California",['Strawberry'],"Caldas growing region, Colombia",$20.00/12 ounces,June 2019,Medium-Light,,www.steadystateroasting.com
Kenya Kiambu Gititu AA,Kakalove Cafe,"Richly savory-sweet, balanced, layered and lively. Red currant, maple syrup, honeysuckle, sandalwood, dark chocolate in aroma and cup. Deeply sweet-savory structure with juicy, confident acidity; full, syrupy mouthfeel. Long, flavor-saturated finish centers around red fruit and sweet-spicy floral notes.","['Floral', 'Chocolatey']","Chia-Yi, Taiwan","['Honeysuckle', 'Chocolate']","Kiambu growing region, south-central Kenya",NT $360/8 ounces,May 2019,Medium-Light,,www.kakalovecafe.com.tw
Ninety Plus Gesha Estates JBC Custom Lot #252,JBC Coffee Roasters,"A complex and overwhelming aromatic immersion. Pink bubblegum, winter spices, salted fudge, candied ginger, elderflower, herbal liqueur (yellow chartreuse?) in aroma and cup. The structure is dramatic: basic tastes are all disconcertingly intense, including sweet, salt and savory, yet they all somehow layer and satisfy. Very full and syrupy mouthfeel with a spicy drying edge. The finish is resonant, slightly bittersweet though chocolaty and rich.",['Spice'],"Madison, Wisconsin",['Ginger'],"Chiriqui Province, far western Panama",$49.50/4 ounces,May 2019,Medium-Light,608-256-5282,www.jbccoffeeroasters.com
La Palma Y El Tucan Hero Series Colombia Sidra Lot #190,Bird Rock Coffee Roasters,"Elaborate, vibrant, exhilarating. Dark chocolate truffle, strawberry guava, candied ginger, lilac, myrrh in aroma and cup. Crisply sweet-tart structure with bright, succulent acidity; very syrupy mouthfeel. The finish is zesty in the short and cocoa- and floral-toned in the long.","['Chocolatey', 'Fruity', 'Spice']","San Diego, California","['Chocolate', 'Strawberry', 'Ginger']","Cundinamarca Department, central Colombia",$60.00/8 ounces,May 2019,Medium-Light,858-551-1707,www.birdrockcoffee.com
Ka’u Champagne Natural,Paradise Roasters,"Vibrant, juicy, brightly fruit-toned and spicily floral. Wild strawberry, honey, dried gardenia, pistachio butter, pink peppercorn in aroma and cup. Sweet-tart structure with crisp, fresh acidity; viscous, lively mouthfeel. The finish amplifies rich floral and fruit with support from deep spice and earthy honey suggestions.","['Fruity', 'Sweet']","Minneapolis, MInnesota","['Strawberry', 'Honey', 'Butter']","Ka'u growing region, Big Island of Hawai'i",$19.95/4 ounces,May 2019,Light,763-433-0626,www.paradiseroasters.com
Monarch Gesha,Equator Coffees,"Floral and sweetly herbaceous with richly framed depth. Jasmine, spearmint, chocolate, watermelon, fine musk in aroma and cup. Deeply sweet structure with vibrant, juicy acidity; plush, syrupy mouthfeel. The resonant, flavor-saturated finish centers around chocolate and jasmine with musk undertones.","['Floral', 'Chocolatey', 'Fruity']","San Rafael, California","['Jasmine', 'Chocolate', 'Watermelon']","Holualoa, North Kona growing district, “Big Island” of Hawai'i",$42.00/4 ounces,May 2019,Medium-Light,800-809-7687,www.equatorcoffees.com
Australian Blend Espresso,Greybox Coffee,"Evaluated as espresso. Complex, juicy, richly tart. Almond, dark chocolate, guava, tangerine zest, star jasmine in aroma and small cup. Light, very silky mouthfeel; chocolate, fruit and flowers all carry into a cleanly sweet, delicately drying finish. Flavor-saturated in three parts milk: almond, chocolate, guava, flowers all resonate in rich, custardy balance.","['Nutty', 'Chocolatey', 'Fruity', 'Floral']","Shanghai, China","['Almond', 'Chocolate', 'Tangerine', 'Jasmine']","Guji Zone, Oromia Region, southern Ethiopia",$19.00/200 grams,May 2019,Medium-Light,,www.greyboxcoffee.com
Colombia Tolima Monteverde Estate Natural Wush Wush,Dou Zhai Coffee & Roast,"Unorthodox but coherent and compelling. Pungent rose, fresh fennel frond, ripe cantaloupe, walnut, marshmallow in aroma and cup. Roundly sweet-savory in structure, with an impressively smooth, plush mouthfeel. Rose-like flowers prevail in a deeply rich finish.","['Floral', 'Fruity', 'Nutty', 'Sweet']","Taoyuan City, Taiwan","['Rose', 'Cantaloupe', 'Walnut', 'Marshmallow']","Tolima Department, Colombia",NTD $1200/225 grams,May 2019,Medium,,www.douzhaicafe.com.tw
